Date,Open,High,Low,Close,Volume
2011-01-07,701040,701040,609440,624320,5.05
2011-01-10,637120,646960,622080,623040,8.8
2011-01-11,613760,618080,604080,605840,7.6
2011-01-12,592880,594160,577280,578800,5.6
2011-01-13,578240,584320,571920,572000,1.75
2011-01-14,576000,576000,542400,548400,5.7
2011-01-18,544160,547040,531360,531680,2.55
2011-01-19,534480,570000,533120,559360,6.9
2011-01-20,563120,576320,551440,554480,12.3
2011-01-21,540240,564960,538960,559760,3.8
2011-01-24,560800,563600,546480,547680,4.4
2011-01-25,553520,561360,540720,540720,3.15
2011-01-26,535520,538960,521280,523840,4.05
2011-01-27,524560,526800,512800,514000,1.75
2011-01-28,511920,563840,509040,557040,6.9
2011-01-31,549680,558480,547040,554800,3.35
2011-02-01,542240,542240,523040,528400,4.75
2011-02-02,532480,533600,519280,526240,2.5
2011-02-03,528240,541440,518400,520000,2.15
2011-02-04,519200,519600,506800,507760,3.5
2011-02-07,501920,501920,492880,498400,2.6
2011-02-08,497520,504000,490080,491600,2.95
2011-02-09,496880,504000,492880,494000,6.9
2011-02-10,506960,506960,492080,493600,4.05
2011-02-11,525360,525360,485200,485600,5.1
2011-02-14,485840,488160,481200,481280,4.85
2011-02-15,483920,488240,482240,487760,3.8
2011-02-16,480800,493520,476400,493520,5.95
2011-02-18,498240,508000,496800,503520,4.35
2011-02-22,534000,569200,516480,566400,13.75
2011-02-23,566960,606640,560880,591440,14.05
2011-02-24,590640,602400,579760,583600,3.4
2011-02-25,566480,567680,547200,547920,6.05
2011-02-28,531040,532640,520640,524320,7.7
2011-03-01,519280,563680,518000,562640,12.3
2011-03-02,564000,570160,548720,564800,9.85
2011-03-03,538640,543440,534800,535600,3.7
2011-03-04,532480,560960,531520,550880,5.45
2011-03-07,537840,580080,537280,564880,5.85
2011-03-08,561120,576160,548320,552560,2.1
2011-03-09,559840,575200,557440,559920,2.95
2011-03-10,580960,592480,574560,588320,4.95
2011-03-11,598000,600080,569200,572160,4.75
2011-03-14,591600,595840,577440,579680,3.2
2011-03-15,642160,642160,592880,603040,18.55
2011-03-16,608160,679920,604640,657280,33.4
2011-03-17,620000,637200,614560,632720,13.45
2011-03-18,603840,621600,603840,613680,5.8
2011-03-21,586960,586960,565520,565680,11.05
2011-03-22,561360,568720,558480,560880,5.4
2011-03-23,567840,577520,540320,541840,12.65
2011-03-24,525680,535280,522880,527440,12.55
2011-03-25,521360,528240,513760,526960,19.5
2011-03-28,524000,533920,516880,533680,13.2
2011-03-29,533280,541200,520480,520880,10.5
2011-03-30,514160,516720,507520,511040,14.15
2011-03-31,514160,517760,508320,510000,10.8
2011-04-01,498320,510800,494400,505280,18.95
2011-04-04,499440,507760,499200,500800,13.35
2011-04-05,504160,504560,489200,491440,18.9
2011-04-06,486560,497760,484080,489280,20.45
2011-04-07,491200,503760,487920,493520,23.1
2011-04-08,488640,508320,485120,502640,28.8
2011-04-11,498080,503840,491840,497520,19.05
2011-04-12,506800,512640,498400,502240,32.45
2011-04-13,495280,504000,492640,493520,24.05
2011-04-14,501360,505920,486720,488960,22.65
2011-04-15,486080,490640,475760,478080,30.25
2011-04-18,498880,509120,486800,489200,54.55
2011-04-19,484240,484240,463360,464560,31.6
2011-04-20,446480,448880,441760,445360,25.85
2011-04-21,436720,443840,432080,432400,33.55
2011-04-25,429280,433840,422240,422560,13.55
2011-04-26,416800,420080,408080,413280,22.7
2011-04-27,413680,430320,407760,407760,25.1
2011-04-28,412400,412480,400000,402000,21.65
2011-04-29,401760,406080,401520,403120,14.05
2011-05-02,400960,418000,398160,414160,22.55
2011-05-03,416720,433040,416000,423520,17.1
2011-05-04,424560,441920,423360,428000,39.05
2011-05-05,442960,444640,423040,440560,52.1
2011-05-06,420160,444000,412320,430560,53.55
2011-05-09,431280,432000,415440,416160,22
2011-05-10,411360,414640,400080,401520,38.95
2011-05-11,402480,421280,402480,409440,33
2011-05-12,416160,422000,400800,404960,40.1
2011-05-13,402480,416560,401840,410400,30.8
2011-05-16,414720,418400,401840,418400,46.2
2011-05-17,424000,429920,409680,410960,50.5
2011-05-18,410800,414160,397440,399600,44.4
2011-05-19,393440,399840,389840,390080,43.95
2011-05-20,391600,403280,385600,394720,57.7
2011-05-23,414240,416800,402320,407920,52.65
2011-05-24,403760,407280,398400,407200,41
2011-05-25,406880,407520,391520,395520,19.2
2011-05-26,398080,399920,386000,387200,28.3
2011-05-27,381520,382560,374960,380400,27.25
2011-05-31,366400,373920,366400,369520,23.9
2011-06-01,372480,392880,370560,392880,43.5
2011-06-02,386960,400400,383840,388080,51.05
2011-06-03,404800,404800,383680,388320,53.15
2011-06-06,387760,399280,383360,394640,31.95
2011-06-07,387520,390000,380640,389520,39.6
2011-06-08,390720,398160,385920,396000,50.2
2011-06-09,390400,391120,380480,383280,26.95
2011-06-10,385040,400240,383840,396640,71
2011-06-13,394720,411040,390400,402720,43.35
2011-06-14,391440,392080,385840,390560,29.8
2011-06-15,404720,425200,401520,423360,154.2
2011-06-16,431280,466000,424800,445840,138
2011-06-17,431920,447840,426960,437200,77.35
2011-06-20,440640,442960,417200,417680,57.3
2011-06-21,405360,407760,393920,404320,47.4
2011-06-22,399440,409360,391600,408560,52.35
2011-06-23,431360,436880,407360,408240,84.45
2011-06-24,404400,426640,402640,425040,67.3
2011-06-27,425440,430880,415920,417600,46.95
2011-06-28,412000,414960,400800,401120,27.4
2011-06-29,390880,394080,380400,381040,60.85
2011-06-30,373920,374160,361680,365440,89.05
2011-07-01,362480,364400,348320,350800,48.1
2011-07-05,350160,354240,347200,352320,28.55
2011-07-06,356960,363440,353840,357760,21.4
2011-07-07,345680,348880,344240,348000,23.8
2011-07-08,361120,361120,351840,351840,46.65
2011-07-11,369760,382720,365680,381120,63.5
2011-07-12,389360,391040,373280,390560,56
2011-07-13,382640,394640,370000,390240,63.45
2011-07-14,385280,414320,385280,404400,90.5
2011-07-15,399600,414560,394960,400320,76.45
2011-07-18,408000,416880,407600,408880,68.65
2011-07-19,400960,401360,387440,389120,57.6
2011-07-20,381360,389440,379360,381040,48.6
2011-07-21,371200,373520,360000,361520,70.3
2011-07-22,357440,364240,355200,358640,40.8
2011-07-25,370320,373040,364080,372320,63.15
2011-07-26,374240,382960,372160,380000,56.2
2011-07-27,387280,404400,386880,402480,79.3
2011-07-28,405040,414640,390880,411760,44.35
2011-07-29,424720,430880,401680,404080,140.1
2011-08-01,382400,413200,381280,387120,131.05
2011-08-02,399520,414000,390560,414000,85.05
2011-08-03,416000,435280,409040,416480,80.05
2011-08-04,432240,499040,429600,498400,132.15
2011-08-05,476560,574400,469520,523840,275.3
2011-08-08,570320,615600,551360,600560,263.4
2011-08-09,576320,622400,540000,541120,168.15
2011-08-10,562160,611360,556240,606320,61.9
2011-08-11,596240,612240,565440,581600,121.35
2011-08-12,562080,587840,555440,585760,45.9
2011-08-15,569280,576400,552640,552640,31.35
2011-08-16,566080,584640,555760,565200,92.05
2011-08-17,556720,582800,552000,576480,76.6
2011-08-18,630480,710880,629440,695680,105.9
2011-08-19,740480,740800,687600,730800,96.5
2011-08-22,689920,761920,688480,753040,61.6
2011-08-23,752320,767600,713600,717040,20.05
2011-08-24,719040,723200,681920,702480,25.8
2011-08-25,683200,734080,674400,716960,80.05
2011-08-26,741920,755680,692640,704880,29.85
2011-08-29,678880,680400,660560,660560,34
2011-08-30,671920,685440,658880,668480,34.25
2011-08-31,661600,676720,648560,669680,52.15
2011-09-01,669920,678560,647680,678160,14.25
2011-09-02,711040,718640,700800,713440,15.3
2011-09-06,776400,777120,733040,733440,34.5
2011-09-07,710880,719200,704320,706800,25.45
2011-09-08,717760,723520,694560,718320,27.9
2011-09-09,740480,796000,736240,786720,26.7
2011-09-12,821280,842080,791840,794400,29.65
2011-09-13,786960,810320,783520,785760,36.5
2011-09-14,775440,804640,747360,765040,23.6
2011-09-15,748080,754720,726720,726720,14.85
2011-09-16,722720,737840,709120,712160,26.85
2011-09-19,746160,758640,728160,736240,24.05
2011-09-20,724080,738080,709440,735440,27.3
2011-09-21,730400,775360,723280,775360,72.2
2011-09-22,841200,879360,820000,853600,60.7
2011-09-23,861360,875680,843360,862400,20.05
2011-09-26,847680,878720,830720,832400,24.55
2011-09-27,794880,824720,779120,816640,69.7
2011-09-28,808160,870160,800560,868800,27.05
2011-09-29,839840,894800,831840,853600,27.15
2011-09-30,888000,917920,872000,916160,40.45
2011-10-03,934560,976480,911680,975600,66.2
2011-10-04,999360,1013920,901600,907600,84.2
2011-10-05,893920,908960,858400,861280,17.65
2011-10-06,865920,880480,845600,846880,24.2
2011-10-07,830400,876800,829760,862240,56.3
2011-10-10,826400,828000,799360,799680,23.8
2011-10-11,809440,809440,784400,790160,16.05
2011-10-12,761280,764880,722080,736800,34.25
2011-10-13,745600,766480,732960,735360,24.8
2011-10-14,703440,720000,691200,692560,19.2
2011-10-17,696000,768560,695280,765760,26.85
2011-10-18,766480,791840,711040,735520,32.05
2011-10-19,731840,800400,724320,785680,42.2
2011-10-20,790880,825520,782320,793200,29.1
2011-10-21,763680,775760,748080,749840,16.75
2011-10-24,739920,739920,702240,703920,25.4
2011-10-25,712560,755680,712560,749600,33.95
2011-10-26,720560,775040,717120,718480,24.65
2011-10-27,646320,660080,619200,624160,29.75
2011-10-28,637120,642080,615280,619040,8.95
2011-10-31,648240,685760,642720,684720,11.15
2011-11-01,789920,806800,757920,785920,24.65
2011-11-02,756720,786720,753440,761360,8.05
2011-11-03,738560,785520,721680,725520,8.55
2011-11-04,743040,765600,726080,739120,8.45
2011-11-07,741840,762000,731600,732240,15.55
2011-11-08,722400,742880,697200,698080,27
2011-11-09,749120,834000,742400,828480,53.8
2011-11-10,780240,823200,773920,777600,22
2011-11-11,746800,749760,735200,743600,25.7
2011-11-14,755360,775840,752960,762480,19.5
2011-11-15,776720,782080,745920,754560,23.6
2011-11-16,779200,796000,749440,790640,29
2011-11-17,798000,844160,790880,829840,26.1
2011-11-18,805440,828000,800640,801040,25.45
2011-11-21,843120,845360,807040,811040,26.5
2011-11-22,816160,822320,791520,792880,35.15
2011-11-23,811920,830240,806880,829680,23.9
2011-11-25,833040,843040,815520,840480,14.3
2011-11-28,782400,808080,776640,799680,19.7
2011-11-29,792560,801200,776000,783200,13.25
2011-11-30,730800,736320,711120,713680,20.4
2011-12-01,715680,718480,692400,696640,15.3
2011-12-02,678080,696960,666080,696640,15.1
2011-12-05,666240,701840,665920,694480,15.05
2011-12-06,694800,698880,683200,692080,6.3
2011-12-07,701280,728960,700800,711760,14.3
2011-12-08,734480,751280,727040,744960,14.55
2011-12-09,735680,736800,692960,693120,48.9
2011-12-12,708640,722720,696560,696560,19.95
2011-12-13,682400,706960,667680,692960,27
2011-12-14,693760,710400,683760,695600,21.5
2011-12-15,668640,677760,660000,667840,11.05
2011-12-16,646240,673280,645600,664960,24.05
2011-12-19,656800,663200,644240,658560,15.95
2011-12-20,628480,628640,616000,617840,22.35
2011-12-21,610400,620000,575520,575920,22.1
2011-12-22,562560,583600,552000,577760,16.4
2011-12-23,574000,596240,568640,591760,10.3
2011-12-27,588720,590320,580320,586560,7.8
2011-12-28,583680,613360,583680,611760,11.6
2011-12-29,606640,606640,594960,596800,6.8
2011-12-30,595600,606400,593440,605920,6.2
2012-01-03,577360,581120,569360,573920,7.7
2012-01-04,580560,587760,562640,562640,7.45
2012-01-05,570720,576400,549440,550080,8.6
2012-01-06,546720,556640,536000,541760,11.65
2012-01-09,536640,540640,530080,533440,5.2
